filename, language, Python, Jupyter, YAML, JSON, comment, blank, total
/home/julius/projects/curious/.mypy_cache/3.7/email/mime/text.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/email/policy.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/email/policy.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/enum.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/enum.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/functools.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/functools.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/google/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/google/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/google/protobuf/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/google/protobuf/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/entities.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/entities.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/parser.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/html/parser.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
