,Rank,Episode,ep_len,Alpha,rolling mean
392,9,1910,18,0.05,17.8
393,9,1920,19,0.05,17.933333333333334
394,9,1930,17,0.05,17.933333333333334
395,9,1940,16,0.05,17.8
396,9,1950,17,0.05,17.733333333333334
397,9,1960,16,0.05,17.6
398,9,1970,19,0.05,17.666666666666668
399,9,1980,17,0.05,17.6
400,9,1990,18,0.05,17.466666666666665
401,9,2000,18,0.05,17.4
402,3,0,38,0.05,38.0
403,3,10,35,0.05,36.5
404,3,20,44,0.05,39.0
405,3,30,37,0.05,38.5
406,3,40,41,0.05,39.0
407,3,50,26,0.05,36.833333333333336
408,3,60,23,0.05,34.857142857142854
409,3,70,24,0.05,33.5
410,3,80,25,0.05,32.55555555555556
411,3,90,21,0.05,31.4
412,3,100,21,0.05,30.454545454545453
413,3,110,20,0.05,29.583333333333332
414,3,120,25,0.05,29.23076923076923
415,3,130,21,0.05,28.642857142857142
416,3,140,19,0.05,28.0
417,3,150,20,0.05,26.8
418,3,160,17,0.05,25.6
419,3,170,201,0.05,36.06666666666667
420,3,180,24,0.05,35.2
421,3,190,19,0.05,33.733333333333334
422,3,200,21,0.05,33.4
423,3,210,201,0.05,45.266666666666666
424,3,220,16,0.05,44.733333333333334
425,3,230,20,0.05,44.4
426,3,240,25,0.05,44.666666666666664
427,3,250,21,0.05,44.666666666666664
428,3,260,17,0.05,44.46666666666667
429,3,270,17,0.05,43.93333333333333
430,3,280,18,0.05,43.733333333333334
431,3,290,16,0.05,43.53333333333333
432,3,300,201,0.05,55.6
433,3,310,18,0.05,55.666666666666664
434,3,320,18,0.05,43.46666666666667
435,3,330,20,0.05,43.2
436,3,340,201,0.05,55.333333333333336
437,3,350,15,0.05,54.93333333333333
438,3,360,17,0.05,42.666666666666664
439,3,370,19,0.05,42.86666666666667
440,3,380,18,0.05,42.733333333333334
441,3,390,16,0.05,42.13333333333333
442,3,400,21,0.05,42.13333333333333
443,3,410,17,0.05,42.13333333333333
444,3,420,201,0.05,54.4
445,3,430,201,0.05,66.6
446,3,440,17,0.05,66.66666666666667
447,3,450,201,0.05,66.66666666666667
