,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
241,241,201,27,201,30,201,42,201,42,201,50
242,242,201,29,201,29,201,45,201,41,201,39
243,243,201,40,201,30,201,45,201,201,201,41
244,244,201,29,201,22,201,37,201,38,201,38
245,245,201,28,201,27,201,43,201,37,201,36
246,246,201,34,201,26,201,37,201,92,201,47
247,247,201,31,201,31,201,49,201,45,201,40
248,248,201,55,201,26,201,30,201,40,201,40
249,249,201,28,201,26,201,41,201,201,201,39
250,250,201,28,201,24,201,38,201,41,201,52
251,251,201,25,201,22,201,43,201,54,201,44
252,252,201,29,201,201,201,36,201,45,201,44
253,253,201,27,201,26,201,45,201,87,201,37
254,254,201,28,201,25,201,152,201,50,201,43
255,255,201,41,201,25,201,66,201,41,201,41
256,256,201,34,201,26,201,37,201,201,201,43
257,257,201,25,201,201,201,36,201,46,201,42
258,258,201,23,201,32,201,38,201,36,201,33
259,259,201,29,201,31,201,43,201,42,201,35
260,260,201,41,201,34,201,39,201,40,201,48
261,261,201,29,201,27,201,46,201,42,201,36
262,262,201,27,201,25,201,36,201,80,201,41
263,263,201,33,201,22,201,43,201,40,201,43
264,264,201,42,201,201,201,39,201,73,201,40
265,265,201,60,201,30,201,47,201,46,201,69
266,266,201,29,201,24,201,37,201,31,201,29
267,267,201,26,201,25,201,37,201,38,201,32
268,268,201,36,201,27,201,34,201,44,201,35
269,269,201,27,201,24,201,52,201,51,201,35
270,270,201,34,201,31,201,45,201,34,201,33
271,271,201,32,201,21,201,41,201,38,201,45
272,272,201,29,201,23,201,38,201,43,201,32
273,273,201,26,201,25,201,40,201,201,201,36
274,274,201,25,201,27,201,36,201,201,201,38
275,275,201,24,201,25,201,46,201,33,201,31
276,276,201,30,201,36,201,35,201,201,201,35
277,277,201,29,201,24,201,30,201,47,201,34
278,278,201,36,201,29,201,51,201,42,201,34
279,279,201,25,201,23,201,41,201,35,201,38
280,280,201,28,201,26,201,45,201,40,201,36
281,281,201,22,201,27,201,201,201,38,201,31
282,282,201,25,201,30,201,34,201,45,201,34
283,283,201,26,201,24,201,42,201,42,201,32
284,284,201,23,201,25,201,29,201,201,201,34
285,285,201,30,201,23,201,33,201,201,201,35
286,286,201,24,201,21,201,37,201,201,201,25
287,287,201,25,201,29,201,40,201,36,201,32
288,288,201,26,201,24,201,30,201,201,201,43
289,289,201,44,201,27,201,66,201,38,201,28
290,290,201,26,201,28,201,38,201,43,201,39
291,291,201,26,201,201,201,41,201,43,201,35
292,292,201,22,201,23,201,41,201,34,201,32
293,293,201,36,201,22,201,36,201,28,201,40
294,294,201,24,201,25,201,41,201,38,201,32
295,295,201,28,201,24,201,59,201,37,201,49
296,296,201,24,201,33,201,46,201,54,201,33
297,297,201,26,201,27,201,33,201,39,201,38
298,298,201,25,201,25,201,42,201,49,201,30
299,299,201,28,201,26,201,41,201,35,201,57
300,300,201,27,201,23,201,44,201,42,201,37
301,301,201,26,201,25,201,36,201,40,201,40
302,302,201,29,201,27,201,32,201,32,201,34
303,303,201,31,201,23,201,41,201,33,201,35
304,304,201,27,201,26,201,40,201,34,201,34
305,305,201,24,201,24,201,41,201,43,201,34
306,306,201,25,201,25,201,38,201,39,201,37
307,307,201,31,201,22,201,36,201,38,201,45
308,308,201,23,201,26,201,40,201,37,201,31
309,309,201,23,201,30,201,38,201,201,201,115
310,310,201,26,201,24,201,46,201,39,201,32
311,311,201,25,201,22,201,31,201,56,201,31
312,312,201,25,201,29,201,38,201,201,201,30
313,313,201,28,201,23,201,39,201,38,201,34
314,314,201,26,201,30,201,33,201,201,201,34
315,315,201,27,201,23,201,41,201,40,201,32
316,316,201,26,201,31,201,42,201,52,201,31
317,317,201,23,201,25,201,30,201,29,201,30
318,318,201,26,201,25,201,32,201,36,201,36
319,319,201,23,201,27,201,43,201,32,201,31
320,320,201,38,201,21,201,46,201,29,201,36
321,321,201,22,201,26,201,34,201,201,201,145
322,322,201,26,201,25,201,39,201,95,201,36
323,323,201,22,201,26,201,33,201,42,201,39
324,324,201,26,201,26,201,44,201,39,201,37
325,325,201,29,201,21,201,38,201,35,201,38
326,326,201,27,201,26,201,39,201,38,201,38
327,327,201,22,201,23,201,41,201,45,201,33
328,328,201,30,201,27,201,32,201,29,201,27
329,329,201,32,201,22,201,45,201,46,201,34
330,330,201,25,201,31,201,38,201,201,201,38
